OID_,AREA,PERIMETER,NAME_U,NAME_L,aws0_5,aws5_20,aws20_50,aws0_20,tk0_20a,tk0_30a,soc0_20,soc0_30,nccpi3corn,nccpi3soy,nccpi3all,slope_r,elev_r,W_avg_sand,W_avg_silt,W_avg_clay,Shape_Length,Shape_Area
47,1164291884,153695.0604,PARKE,Parke,11.4499998,30.4699993,51.9599991,41.9199982,20,30,2104,2777,0.782,0.597,0.782,8.1000004,259,28.95073892,47.16256158,23.88669951,153695.0604,7463.735
48,1042813354,131426.0742,MARION,Marion,9.1400003,27.4300003,44.5400009,36.5800018,20,30,3651,4582,0.618,0.438,0.618,0.5,275,25.135,49.155,25.71,131426.0742,47689.905
49,1058147000,137496.3859,HENDRICKS,Hendricks,10.8699999,31.5,48,42.3800011,20,30,3194,3983,0.623,0.462,0.623,8,275,36.905,42.78,20.315,137496.3859,16924.86
50,1250042089,155244.3239,PUTNAM,Putnam,8.1000004,23.3400002,42.3600006,31.4400005,20,30,2095,2528,0.547,0.35,0.547,1,253,33.255,44.1275,22.6175,155244.3239,175881.195
51,557568447.7,103762.3102,FAYETTE,Fayette,10.6000004,31.7999992,51.3600006,42.4000015,20,30,4244,5415,0.684,0.574,0.684,3,276,39.535,40.18,20.285,103762.3101,15002.515
52,1057172614,131386.9428,RUSH,Rush,11.0500002,33.1399994,60.5600014,44.1800003,20,30,6204,9215,0.86,0.809,0.86,1,286,32.47,45.71,21.82,131386.9431,149865.845
53,427656348.2,83488.13219,UNION,Union,10.4300003,31.2800007,57.0600014,41.7000008,20,30,3720,5569,0.799,0.774,0.799,1,238,32.47,45.71,21.82,83488.13235,11105.78
54,1068211898,132914.9709,SHELBY,Shelby,10.6499996,31.9500008,55.4700012,42.5999985,20,30,3884,5259,0.606,0.482,0.606,0.5,244,22.5,48.05,29.45,132914.9708,2117.955
55,833074285.3,116490.2161,JOHNSON,Johnson,10.46,31.4099998,55.5600014,41.9000015,20,30,6973,10237,0.807,0.747,0.807,1,290,33.54,44.5425,21.9175,116490.2161,33605.25
56,1059537464,144143.9989,MORGAN,Morgan,11,33,58.5,44,20,30,3248,4604,0.721,0.795,0.795,1,235.1999969,7,64.875,28.125,144143.9989,26240.295
57,1062236335,149621.906,VIGO,Vigo,11.4700003,31.1200008,48.6800003,42.5900002,20,30,2571,2977,0.748,0.583,0.748,0.9,200,19.26973684,54.97368421,25.75657895,149621.906,2083.52
58,932370187.7,148322.9652,CLAY,Clay,10.9099998,32.7099991,60.25,43.5999985,20,30,5013,6349,0.791,0.821,0.821,0.5,251,47.22,34.36,18.42,148322.9651,203790.22
59,1012295448,137431.5706,FRANKLIN,Franklin,11.0500002,33.1399994,60.5600014,44.1800003,20,30,6204,9215,0.86,0.809,0.86,1,286,32.47,45.71,21.82,137431.571,3368.835
60,1003167066,143640.5216,OWEN,Owen,9.8999996,29.7000008,51.2999992,39.5999985,18,27,3785,4372,0.532,0.485,0.606,3,235.1999969,16.85221675,57.5270936,25.62068966,143640.5215,255303.345
61,966287505.8,128020.9711,DECATUR,Decatur,10.3500004,31.0499992,55.3499985,41.4000015,20,30,4163,5687,0.832,0.727,0.832,3,220,30.25,48.345,21.405,128020.9712,834196.59
62,1060159005,137680.3396,BARTHOLOMEW,Bartholomew,9.8999996,29.7000008,47.5200005,39.5999985,18,27,4092,5846,0.729,0.619,0.729,3,244.3000031,28.69736842,47.73684211,23.56578947,137680.3397,43247.135
63,1064447887,144859.5895,MONROE,Monroe,10.5,31.5,50.5,42,20,30,7406,9578,0.188,0.09,0.188,30,229,35.39325843,40.21348315,24.39325843,144859.5895,122656.535
64,819710881.2,116581.125,BROWN,Brown,11,33,61.7999992,44,20,30,4205,6308,0.68,0.578,0.704,4,229,14.10344828,60.84729064,25.04926108,116581.125,55847.33
65,1160201032,138814.5262,RIPLEY,Ripley,10.6099997,31.9899998,59.5,42.5999985,20,30,3097,3565,0.593,0.482,0.593,1,206,19.10043668,57.97379913,22.92576419,138814.5261,63727.17
66,796307090.6,137456.0323,DEARBORN,Dearborn,10.9200001,32.7599983,54.5200005,43.6899986,20,30,3319,3777,0.514,0.373,0.514,4,206,22.42,44.365,33.215,137456.0323,5535.95
67,1174648200,165134.8933,SULLIVAN,Sullivan,10.3500004,31.0499992,51.8400002,41.4000015,18,27,3654,5481,0.913,0.803,0.913,1,205.6999969,10.63157895,66.94736842,22.42105263,165134.8935,171902.05
68,979898322.8,151386.209,JENNINGS,Jennings,10.5500002,23.0100002,27.2199993,33.5600014,20,30,3149,3757,0.096,0.042,0.096,4,240,37.035,42.785,20.18,151386.2089,2039.43
69,1412911325,155126.6187,GREENE,Greene,9.4499998,28.3500004,48.5999985,37.7999992,18,27,2271,2858,0.744,0.68,0.744,1,205.6999969,16.33497537,57.55665025,26.10837438,155126.6186,46560.25
70,1329748744,195322.0427,JACKSON,Jackson,9.9799995,28.7800007,51.5499992,38.75,20,30,3794,4390,0.464,0.358,0.497,6,250.8000031,7.377906977,55.12209302,22.96511628,195322.0427,10499828.8
71,226471553.9,87511.51428,OHIO,Ohio,10.9399996,32.6500015,52.4399986,43.5999985,20,30,3254,3714,0.431,0.296,0.431,9,206,25.35,41.59,33.06,87511.51446,2332.075
72,1170249497,139506.349,LAWRENCE,Lawrence,10.4899998,31.4899998,55.0999985,42,20,30,3321,4079,0.585,0.417,0.585,4,217.8000031,5.00877193,38.53947368,45.48684211,139506.349,56345.02
73,579103605.7,117749.0021,SWITZERLAND,Switzerland,10.54,31.6200008,59.2000008,42.1599998,20,30,3585,4030,0.712,0.591,0.712,9,229,21.01,55.535,23.455,117749.0022,4879.18
74,939634037.2,167770.0129,JEFFERSON,Jefferson,10.5,24.5,42,35,20,30,1267,1483,0.577,0.396,0.577,15.1000004,229,31.32019704,33.408867,35.27093596,167770.013,4078.36
75,1356530317,320463.9637,KNOX,Knox,7.5999999,22.7999992,47.6899986,30.3999996,19,28.5,1598,2365,0.725,0.561,0.725,4,163.8999939,58.65131579,25.84868421,15.5,320463.9636,4774.045
76,880786855.6,131198.9555,MARTIN,Martin,9.8699999,28.8999996,54.9000015,38.7799988,20,30,2202,2457,0.449,0.313,0.452,9,193,21.33548387,43.69032258,18.84516129,131198.9556,8803.435
77,1130039000,217192.7502,DAVIESS,Daviess,10.5500002,31.6499996,50.2700005,42.2000008,20,30,2103,2542,0.341,0.217,0.341,9,219.1999969,22.24,50.15,27.61,217192.7501,42444.895
78,498885396.8,121889.3544,SCOTT,Scott,11,33,49.9399986,44,20,30,3293,3819,0.618,0.447,0.618,1,206,19.88815789,65.68421053,14.42763158,121889.3543,46392.675
79,1336765620,182628.2197,WASHINGTON,Washington,10.8999996,32.7000008,56.8699989,43.5999985,20,30,4092,5405,0.797,0.863,0.863,1,259,14.61,57.87,27.52,182628.2199,1646.685
80,1056750299,130368.1628,ORANGE,Orange,9.6199999,28.0499992,45.5600014,37.6800003,19,28.5,3828,4312,0.177,0.102,0.177,24,212.1999969,6.615720524,40.17030568,41.86026201,130368.1628,925434.33
81,974926292.7,167053.8774,CLARK,Clark,10.5,31.5,63.9000015,42,20,30,3248,4278,0.693,0.665,0.693,0.9,206,19.39901478,59.1773399,21.42364532,167053.8777,4987.29
82,883023332.9,169688.6761,PIKE,Pike,10.6000004,31.4400005,58.2000008,42.0400009,20,30,3421,4148,0.823,0.777,0.823,1,150,7.753000135,76.56999863,15.67700029,169688.6761,2364147.74
83,1291594433,234808.3175,GIBSON,Gibson,10.4799995,31.4300003,54.7999992,41.9000015,20,30,4347,4813,0.518,0.797,0.797,0.5,150,12.87,60,27.13,234808.3176,2358560.87
84,1126504980,147241.9636,DUBOIS,Dubois,11,33,66,44,20,30,3248,4507,0.916,0.772,0.916,1,148.8000031,18.01315789,67.25,14.73684211,147241.9636,16462921.11
85,799115285.9,180931.6225,CRAWFORD,Crawford,8.9200001,26.7700005,36.2099991,35.7000008,17,25.5,3919,4636,0.116,0.043,0.116,35,220,5.157894737,27.47368421,22.63157895,180931.6225,39658.38
86,1258521673,192992.8844,HARRISON,Harrison,8.9200001,26.3799992,45.4300003,35.3100014,20,30,2317,2716,0.555,0.323,0.57,8,220,4.793103448,40.22660099,54.98029557,192992.8848,3226343.995
87,387057418.2,96909.28016,FLOYD,Floyd,10.4899998,31.4899998,55.0999985,42,20,30,3321,4079,0.597,0.435,0.597,4,217.8000031,5.00877193,38.53947368,45.48684211,96909.28046,23648.945
88,999752423.6,181798.8504,PERRY,Perry,10.8699999,31.2000008,56.7000008,42.0800018,20,30,1997,2212,0.572,0.573,0.648,15,179.8999939,21.22222222,36.04040404,17.48484848,181798.8504,35578.045
89,1012323898,162491.5883,WARRICK,Warrick,9.8699999,28.1800003,54.9000015,38.0499992,20,30,1611,1846,0.4,0.271,0.4,9,193.8999939,6.461538462,44.89010989,34.91208791,162491.5882,59354.155
90,1085314900,225886.7133,POSEY,Posey,11.5,34.5,69,46,20,30,6729,8818,0.811,0.882,0.882,0.3,175,13.01315789,64.65789474,22.32894737,225886.7134,1641.14
91,1038928114,192142.9518,SPENCER,Spencer,11.4499998,34.3499985,66.2300034,45.7999992,20,30,3310,3978,0.773,0.706,0.773,1,132.5,9.507389163,72.10344828,18.38916256,192142.9517,12237.145
92,611358389.4,133816.8322,VANDERBURGH,Vanderburgh,11,33,67.4000015,44,20,30,6729,10093,0.829,0.891,0.891,0.3,147,13.11842105,65.59210526,21.28947368,133816.8322,141544.695
